square feet,bedrooms,bathrooms,price
3000,4,5,564690
2000,3,3,413996
2100,4,1,338508
2000,4,2,376080
1800,2,3,263242
1600,3,2,357143
1400,3,2,319515
2000,3,4,488566
1200,2,2,281820
1666,1,2,162210
2002,4,4,439121
2964,3,2,349978
1400,3,1,252145
2564,4,3,557706
1959,2,2,245174
2350,3,2,573047
2963,4,4,504483
884,1,2,242894
1858,3,3,390974
1953,3,3,478307
805,1,3,171205
1746,3,3,275979
2026,2,3,318641
2011,4,2,500742
2200,2,3,395052
2214,4,4,441065
1000,1,1,199032
954,2,2,121742
1286,4,3,251042
1893,2,2,550580
1729,4,3,567282
1000,1,1,138890
2592,2,3,196739
1635,4,2,534725
1939,4,3,538782
1723,4,3,277557
1784,4,1,114029
2904,2,4,318603
2909,3,2,459486
1475,2,2,178497
2257,2,1,269516
2265,4,2,474744
2278,4,4,336544
1505,1,1,175421
1397,1,2,117189
2658,2,2,179611
2861,4,4,587000
1371,2,1,415906
1518,2,2,304315
1044,1,1,369733
1852,2,1,365441
2202,3,3,378771
2671,4,1,343231
1798,3,1,285813
2466,1,1,246789
1107,3,3,228610
1319,1,4,284970
1578,4,3,363098
1110,3,4,542853
